set,metric,n,min,p50,p95,max,mean,median
qr_tx_log_set1,txhash_ms,100,9371.311,9682.325499999999,10065.31035,11991.026,9754.37927,9682.325499999999
qr_tx_log_set1,display_ms,100,4691.411,4738.8695,4753.12765,4763.566,4735.25154,4738.8695
qr_tx_log_set1,total_ms,100,14104.544,14419.195,14792.469799999999,16711.353,14489.63076,14419.195
qr_tx_log_set2,txhash_ms,100,9376.944,9654.567500000001,10050.84935,10660.822,9676.294750000001,9654.567500000001
qr_tx_log_set2,display_ms,100,4691.642,4743.704,4757.1119,4765.364,4739.85332,4743.704
qr_tx_log_set2,total_ms,100,14103.993,14388.861,14792.39645,15378.373,14416.14809,14388.861
qr_tx_log_set3,txhash_ms,100,9308.748,9576.229,9858.64115,11766.712,9609.60245,9576.229
qr_tx_log_set3,display_ms,100,4689.399,4746.1235,4754.8688,4770.704,4741.26222,4746.1235
qr_tx_log_set3,total_ms,100,14067.86,14325.165,14579.496599999999,16456.112,14350.86461,14325.165
qr_tx_log_set4,txhash_ms,100,9316.317,9598.9275,9879.093850000001,11177.019,9636.45477,9598.9275
qr_tx_log_set4,display_ms,100,4692.157,4745.4395,4756.9992,4760.349,4740.53772,4745.4395
qr_tx_log_set4,total_ms,100,14055.766,14351.702000000001,14631.83675,15869.382,14376.99252,14351.702000000001
